"id"	"hr"	"datetime"	"time"	"trl_no"	"blk_no"	"cd_so"	"cd_fr"	"img"	"rslt"	"rate"	"rt"	"r_ans"	"angle"	"end_spin"	"t_now"	"AQ"	"TAS"	"DDF"	"DIF"	"EOT"	"EC"	"PT"	"TheOutcome"	"Gain"	"PE"
"1"	"09_A"	86	"31-May-2019 11:03:02"	13299.5911	1	1	2	1	"wheel_12"	"3"	45.6044	3499.231	1	1033.0272	300	13308.2542	23	51	14	18	19	17	15	1.67	0	-1.67
"2"	"09_A"	86	"31-May-2019 11:03:12"	13309.5976	2	1	2	1	"wheel_08"	"2"	38.4615	3220.1604	1	946.847	216	13317.7838	23	51	14	18	19	17	15	0	-5	-5
"3"	"09_A"	86	"31-May-2019 11:03:22"	13319.5685	3	1	2	1	"wheel_09"	"3"	44.5055	3015.4718	1	851.3173	144	13327.5761	23	51	14	18	19	17	15	1	0	-1
"4"	"09_A"	86	"31-May-2019 11:03:32"	13329.5428	4	1	2	1	"wheel_10"	"1"	50.3663	1179.8975	1	939.9262	210	13335.719	23	51	14	18	19	17	15	0.83	5	4.17
"5"	"09_A"	86	"31-May-2019 11:03:42"	13339.5405	5	1	2	1	"wheel_11"	"2"	42.8571	1381.3695	1	817.8284	108	13345.9299	23	51	14	18	19	17	15	2	-5	-7
"6"	"09_A"	86	"31-May-2019 11:03:53"	13350.5173	6	1	2	1	"wheel_06"	"3"	50	1801.7611	1	881.2841	150	13357.3269	23	51	14	18	19	17	15	-0.83	0	0.83
"7"	"09_A"	86	"31-May-2019 11:04:07"	13364.8846	7	2	2	1	"wheel_12"	"1"	53.2967	1983.8087	1	814.5579	90	13371.8316	23	51	14	18	19	17	15	1.67	5	3.33
"8"	"09_A"	86	"31-May-2019 11:04:17"	13374.8537	8	2	2	1	"wheel_10"	"3"	50	774.1205	1	1061.0739	330	13380.6319	23	51	14	18	19	17	15	0.83	0	-0.83
"9"	"09_A"	86	"31-May-2019 11:04:27"	13384.8206	9	2	2	1	"wheel_01"	"3"	48.3516	971.1107	1	778.3716	72	13390.7728	23	51	14	18	19	17	15	-1	0	1
"10"	"09_A"	86	"31-May-2019 11:04:37"	13394.7864	10	2	2	1	"wheel_11"	"2"	35.8974	1765.0494	1	814.5283	108	13401.5429	23	51	14	18	19	17	15	2	-5	-7
"11"	"09_A"	86	"31-May-2019 11:04:47"	13404.7476	11	2	2	1	"wheel_07"	"3"	32.967	2450.9797	1	995.2291	270	13412.1664	23	51	14	18	19	17	15	0.83	0	-0.83
"12"	"09_A"	86	"31-May-2019 11:04:58"	13415.7232	12	2	2	1	"wheel_08"	"1"	50	1508.1417	1	778.7225	72	13422.2608	23	51	14	18	19	17	15	0	5	5
"13"	"09_A"	86	"31-May-2019 11:05:12"	13430.0784	13	3	1	2	"wheel_05"	"2"	41.2088	2060.5733	1	1043.1659	324	13437.1404	23	51	14	18	19	17	15	0	-5	-5
"14"	"09_A"	86	"31-May-2019 11:05:22"	13440.0494	14	3	1	2	"wheel_04"	"3"	45.9707	2435.8995	1	744.1013	30	13447.5079	23	51	14	18	19	17	15	-0.83	0	0.83
"15"	"09_A"	86	"31-May-2019 11:05:32"	13450.0116	15	3	1	2	"wheel_09"	"2"	37.3626	3354.9495	1	767.5281	36	13458.3913	23	51	14	18	19	17	15	1	-5	-6
"16"	"09_A"	86	"31-May-2019 11:05:42"	13459.9739	16	3	1	2	"wheel_02"	"1"	53.663	5028.3708	0	763.179	36	13469.9637	23	51	14	18	19	17	15	-2	5	7
"17"	"09_A"	86	"31-May-2019 11:05:52"	13469.9829	17	3	1	2	"wheel_03"	"2"	43.7729	3104.8515	1	820.8362	90	13478.0942	23	51	14	18	19	17	15	-1.67	-5	-3.33
"18"	"09_A"	86	"31-May-2019 11:06:03"	13480.9562	18	3	1	2	"wheel_06"	"1"	60.6227	1786.2129	1	741.1655	30	13487.7165	23	51	14	18	19	17	15	-0.83	5	5.83
"19"	"09_A"	86	"31-May-2019 11:06:17"	13495.2806	19	4	2	1	"wheel_02"	"2"	27.2894	2185.257	1	959.7538	252	13502.4452	23	51	14	18	19	17	15	-2	-5	-3
"20"	"09_A"	86	"31-May-2019 11:06:27"	13505.2817	20	4	2	1	"wheel_01"	"1"	56.4103	1931.0334	1	892.4684	180	13512.2136	23	51	14	18	19	17	15	-1	5	6
"21"	"09_A"	86	"31-May-2019 11:06:37"	13515.2498	21	4	2	1	"wheel_03"	"3"	47.8022	1629.3939	1	950.0222	240	13521.846	23	51	14	18	19	17	15	-1.67	0	1.67
"22"	"09_A"	86	"31-May-2019 11:06:47"	13525.2206	22	4	2	1	"wheel_05"	"2"	30.0366	1687.9282	1	1030.1818	324	13531.9004	23	51	14	18	19	17	15	0	-5	-5
"23"	"09_A"	86	"31-May-2019 11:06:57"	13535.1919	23	4	2	1	"wheel_07"	"1"	62.2711	1958.9108	1	831.0101	120	13542.157	23	51	14	18	19	17	15	0.83	5	4.17
"24"	"09_A"	86	"31-May-2019 11:07:08"	13546.1737	24	4	2	1	"wheel_04"	"1"	57.5092	1191.3772	1	1025.5258	300	13552.3275	23	51	14	18	19	17	15	-0.83	5	5.83
"25"	"09_A"	86	"31-May-2019 11:07:23"	13560.5212	25	5	1	1	"wheel_06"	"1"	67.3993	2252.4492	1	760.3219	30	13567.8342	23	51	14	18	19	17	15	-0.83	5	5.83
"26"	"09_A"	86	"31-May-2019 11:07:33"	13570.4944	26	5	1	1	"wheel_09"	"2"	40.293	1408.7782	1	765.67	36	13576.8744	23	51	14	18	19	17	15	1	-5	-6
"27"	"09_A"	86	"31-May-2019 11:07:43"	13580.4582	27	5	1	1	"wheel_05"	"2"	29.304	2606.0025	1	1047.4622	324	13588.0579	23	51	14	18	19	17	15	0	-5	-5
"28"	"09_A"	86	"31-May-2019 11:07:53"	13590.4228	28	5	1	1	"wheel_02"	"1"	50	393.2091	1	744.4304	36	13595.8063	23	51	14	18	19	17	15	-2	5	7
"29"	"09_A"	86	"31-May-2019 11:08:03"	13600.3738	29	5	1	1	"wheel_03"	"2"	46.7033	2445.9125	1	817.2497	90	13607.7968	23	51	14	18	19	17	15	-1.67	-5	-3.33
"30"	"09_A"	86	"31-May-2019 11:08:13"	13611.338	30	5	1	1	"wheel_04"	"3"	58.2418	3110.9062	1	762.5149	30	13619.4574	23	51	14	18	19	17	15	-0.83	0	0.83
"31"	"09_A"	86	"31-May-2019 11:08:28"	13625.6475	31	6	2	2	"wheel_09"	"3"	43.7729	2821.5397	1	876.1239	144	13633.4579	23	51	14	18	19	17	15	1	0	-1
"32"	"09_A"	86	"31-May-2019 11:08:38"	13635.6199	32	6	2	2	"wheel_11"	"2"	28.022	1950.9337	1	830.1916	108	13642.5373	23	51	14	18	19	17	15	2	-5	-7
"33"	"09_A"	86	"31-May-2019 11:08:48"	13645.5927	33	6	2	2	"wheel_10"	"1"	58.7912	2298.8926	1	916.2721	210	13652.8919	23	51	14	18	19	17	15	0.83	5	4.17
"34"	"09_A"	86	"31-May-2019 11:08:58"	13655.567	34	6	2	2	"wheel_06"	"3"	50	688.0309	1	872.5004	150	13661.2186	23	51	14	18	19	17	15	-0.83	0	0.83
"35"	"09_A"	86	"31-May-2019 11:09:08"	13665.5426	35	6	2	2	"wheel_12"	"3"	40.1099	1274.1392	1	1020.3792	300	13671.8097	23	51	14	18	19	17	15	1.67	0	-1.67
